"2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
19.4,33.2,11.1,18.5,31.9,21.9,29.2,17.8,27.11,29.8,13.8,20.6,22,19.8,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
18.1,36.5,12.3,21.8,25.5,20.9,38.2,32.3,27.4,36.6,19.5,18.8,21.63,22.9,NA
